customer_id,name,email,,,,
product_id,product_name,category,stock,price,supplier_id,supplier
1,Wireless Mouse,Electronics,100,799,1,NULL
2,Keyboard,Electronics,80,1299,1,NULL
3,Laptop,Electronics,40,55000,2,NULL
4,Printer,Electronics,25,12000,3,NULL
79,Wireless Mouse,Electronics,100,799,1,NULL
80,Gaming Laptop,Electronics,20,85000,4,NULL
81,Laptop,Electronics,25,55000,NULL,Dell
82,Mouse,Accessories,120,500,NULL,Logitech
83,Keyboard,Accessories,80,1200,NULL,HP
84,Monitor,Electronics,40,15000,NULL,Samsung
85,Printer,Electronics,15,18000,NULL,Canon
86,Laptop Pro 14,Electronics,45,85000,NULL,Dell
87,Wireless Mouse,Electronics,120,799,NULL,Logitech
88,Keyboard Mechanical,Electronics,80,2999,NULL,Redragon
89,Monitor 24 Inch,Electronics,35,12500,NULL,Samsung
90,USB-C Cable,Accessories,200,399,NULL,Anker
91,Power Bank 20000mAh,Accessories,90,1999,NULL,Mi
92,Office Chair,Furniture,25,6500,NULL,Godrej
93,Study Table,Furniture,18,8500,NULL,Ikea
94,Notebook A4,Stationery,300,120,NULL,Classmate
95,Pen Blue,Stationery,500,10,NULL,Reynolds
96,Printer Laser,Electronics,20,14500,NULL,HP
97,Scanner,Electronics,15,9800,NULL,Canon
98,Router WiFi,Electronics,40,2200,NULL,TP-Link
99,External HDD 1TB,Electronics,30,5500,NULL,Seagate
100,SSD 512GB,Electronics,28,6200,NULL,Samsung
101,Smartphone X,Electronics,50,32000,NULL,Samsung
102,Tablet 10 inch,Electronics,22,28000,NULL,Lenovo
103,Desk Lamp,Furniture,40,1200,NULL,Philips
104,Whiteboard,Furniture,10,3500,NULL,Camlin
105,Office Sofa,Furniture,5,22000,NULL,Durian
106,Marker Pen,Stationery,400,30,NULL,Camlin
107,Stapler,Stationery,150,120,NULL,Kangaro
108,File Folder,Stationery,250,60,NULL,Solo
109,Paper Ream,Stationery,180,350,NULL,JK Paper
110,Calculator,Electronics,70,650,NULL,Casio
111,Projector,Electronics,10,42000,NULL,Epson
112,Conference Mic,Electronics,12,7800,NULL,Boya
113,Headphones,Electronics,65,2500,NULL,Boat
114,Webcam HD,Electronics,55,1800,NULL,Logitech
115,Smart Watch,Electronics,45,4500,NULL,Noise
116,Chair Cushion,Furniture,60,900,NULL,AmazonBasics
117,Bookshelf,Furniture,12,7600,NULL,Ikea
118,Drawer Cabinet,Furniture,8,10500,NULL,Godrej
119,Wall Clock,Furniture,35,900,NULL,Ajanta
120,Water Bottle,Accessories,150,450,NULL,Milton
121,Laptop Bag,Accessories,85,1600,NULL,American Tourister
122,HDMI Cable,Accessories,120,350,NULL,Belkin
123,Mouse Pad,Accessories,200,150,NULL,Cosmic Byte
124,USB Hub,Accessories,90,950,NULL,TP-Link
125,Power Strip,Accessories,110,1200,NULL,GM
126,Cleaning Spray,Office Supplies,140,220,NULL,Colin
127,Tissue Box,Office Supplies,200,90,NULL,Origami
128,Hand Sanitizer,Office Supplies,180,110,NULL,Dettol
129,Trash Bin,Office Supplies,60,650,NULL,Cello
130,Mop Set,Office Supplies,45,1250,NULL,Gala
131,Label Printer,Electronics,15,9200,NULL,Brother
132,Barcode Scanner,Electronics,18,6700,NULL,Honeywell
133,POS Machine,Electronics,10,28500,NULL,Epson
134,Cash Drawer,Electronics,14,4800,NULL,TVS
135,Filing Cabinet,Furniture,9,14500,NULL,Godrej
136,Desk Organizer,Stationery,160,220,NULL,AmazonBasics
137,Sticky Notes,Stationery,300,90,NULL,3M
138,Paper Clips,Stationery,500,40,NULL,Kangaro
139,Envelope Pack,Stationery,280,150,NULL,JK
140,Tablet Stand,Accessories,95,780,NULL,Portronics
141,Phone Holder,Accessories,110,650,NULL,Spigen
142,Bluetooth Speaker,Electronics,55,3200,NULL,JBL
143,UPS Backup,Electronics,12,9500,NULL,APC
144,Network Switch,Electronics,18,5600,NULL,D-Link
145,Server Rack,Electronics,5,45000,NULL,NetRack
146,Ethernet Cable,Accessories,200,180,NULL,D-Link
147,SSD 1TB,Electronics,20,9800,NULL,WD
148,Graphics Card,Electronics,8,42000,NULL,NVIDIA
149,CPU Processor,Electronics,10,29000,NULL,Intel
150,Printer Ink,Electronics,70,1200,NULL,HP
151,Toner Cartridge,Electronics,45,3800,NULL,Canon
152,Monitor Stand,Accessories,55,2100,NULL,AmazonBasics
153,Foot Rest,Furniture,30,1800,NULL,Ergo
